slide,lesson,topic,arabic,confidence
02,2,sound-plural,"﴿الْمَالُ وَالْبَنُونَ زِينَةُ الْحَيَاةِ الدُّنْيَا﴾",high
02,2,sound-plural,"﴿إِنَّمَا الْمُشْرِكُونَ نَجَسٌ﴾",high
02,2,sound-plural,"﴿وَإِنَّ كَثِيرًا مِنَ النَّاسِ لَفَاسِقُونَ﴾",high
03,3,sound-plural,"﴿إِنَّ الْمُجْرِمِينَ فِي عَذَابِ جَهَنَّمَ خَالِدُونَ﴾",high
03,3,sound-plural,"﴿إِنَّ رَحْمَةَ اللهِ قَرِيبٌ مِنَ الْمُحْسِنِينَ﴾",high
03,3,sound-plural,"﴿الْخَبِيثَاتُ لِلْخَبِيثِينَ وَالطَّيِّبَاتُ لِلطَّيِّبِينَ﴾",high
03,3,sound-plural,"﴿فَإِنَّ اللهَ عَدُوٌّ لِلْكَافِرِينَ﴾",high
03,3,sound-plural,"﴿إِنَّ اللهَ مَعَ الصَّابِرِينَ﴾",high
03,3,sound-plural,"﴿إِنَّ اللهَ لَا يُحِبُّ الظَّالِمِينَ﴾",high
03,3,sound-plural,"﴿فَقُطِعَ دَابِرُ الْقَوْمِ الَّذِينَ ظَلَمُوا﴾",med
03,3,sound-plural,"﴿وَأَنْتُمُ الْأَعْلَوْنَ﴾",med
03,3,sound-plural,"﴿وَنَحْنُ لَهُ مُسْلِمُونَ﴾",high
04,4,sound-plural,"﴿إِنَّ الْمُتَّقِينَ فِي جَنَّاتٍ وَعُيُونٍ﴾",high
04,4,sound-plural,"﴿إِنَّ الْأَبْرَارَ لَفِي نَعِيمٍ﴾",high
04,4,sound-plural,"﴿وَاللهُ يُحِبُّ الصَّابِرِينَ﴾",high
04,4,sound-plural,"﴿كَيْفَ كَانَ عَاقِبَةُ الْمُكَذِّبِينَ﴾",high
05,5,sound-plural,"﴿الْحَمْدُ لِلهِ رَبِّ الْعَالَمِينَ﴾",high
05,5,sound-plural,"﴿وَمَا أَنَا مِنَ الْمُشْرِكِينَ﴾",high
05,5,sound-plural,"﴿إِنَّ اللهَ جَامِعُ الْمُنَافِقِينَ وَالْكَافِرِينَ فِي جَهَنَّمَ جَمِيعًا﴾",high
05,5,sound-plural,"﴿وَمَا هٰذَا إِلَّا أَسَاطِيرُ الْأَوَّلِينَ﴾",high
05,5,sound-plural,"﴿وَإِنَّكَ لَمِنَ الْمُرْسَلِينَ﴾",high
05,5,sound-plural,"﴿إِنَّا أَرْسَلْنَاكَ شَاهِدًا وَمُبَشِّرًا وَنَذِيرًا﴾",med
05,5,sound-plural,"﴿أَفَنَجْعَلُ الْمُسْلِمِينَ كَالْمُجْرِمِينَ﴾",high
06,6,tafdil-jamaa,"﴿وَأَنَا أَوَّلُ الْمُؤْمِنِينَ﴾",high
06,6,tafdil-jamaa,"﴿وَهُوَ أَرْحَمُ الرَّاحِمِينَ﴾",high
06,6,tafdil-jamaa,"﴿فَاللهُ خَيْرٌ حَافِظًا وَهُوَ أَرْحَمُ الرَّاحِمِينَ﴾",high
06,6,tafdil-jamaa,"﴿وَأَنْتَ أَحْكَمُ الْحَاكِمِينَ﴾",high
06,6,tafdil-jamaa,"﴿وَهُوَ خَيْرُ الرَّازِقِينَ﴾",high
06,6,tafdil-jamaa,"﴿أَلَيْسَ اللهُ بِأَحْكَمِ الْحَاكِمِينَ﴾",high
07,7,hum-particle,"﴿فِي قُلُوبِهِمْ مَرَضٌ﴾",med
07,7,hum-particle,"﴿لَهُمْ أَجْرٌ غَيْرُ مَمْنُونٍ﴾",med
